Month,Year,SW Nominations
January,2021,250
February,2021,1
March,2021,108
April,2021,734
May,2021,1007
June,2021,514
July,2021,419
August,2021,516
September,2021,414
October,2021,409
November,2021,593
December,2021,1302
Total,2021,6267
January,2022,272
February,2022,208
March,2022,470
April,2022,696
May,2022,528
June,2022,330
July,2022,723
August,2022,651
September,2022,495
October,2022,542
November,2022,405
December,2022,1048
Total,2022,6368
January,2023,362
February,2023,263
March,2023,414
April,2023,435
May,2023,565
June,2023,446
July,2023,535
August,2023,717
September,2023,688
October,2023,836
November,2023,1029
December,2023,1041
Total,2023,7331
January,2024,681
February,2024,455
March,2024,342
Total,2024,1478
